starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 21:35:02 2008	1218332102699806	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102699887	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102699915	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102699944	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102699970	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102699994	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102700019	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102700049	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102700073	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102700097	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102700122	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700147	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700172	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700196	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700223	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700248	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700272	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700296	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700321	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102700344	0	32	32	31
Sat Aug 09 21:35:02 2008	1218332102722751	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722809	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722844	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722876	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722910	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722942	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102722976	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102723009	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102723043	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102723076	0	20	20	19
Sat Aug 09 21:35:02 2008	1218332102732361	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732415	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732452	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732487	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732521	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732555	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732588	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732620	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732652	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102732683	0	19	19	19
Sat Aug 09 21:35:02 2008	1218332102743072	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743130	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743166	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743200	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743234	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743269	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743304	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743340	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743373	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102743408	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102751986	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752043	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752081	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752116	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752151	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752185	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752218	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752252	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752285	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102752318	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102760892	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102760947	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102760983	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761018	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761053	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761087	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761121	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761154	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761186	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102761217	0	21	21	21
Sat Aug 09 21:35:02 2008	1218332102770843	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102770901	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771019	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771056	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771091	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771127	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771162	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771197	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771230	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102771263	0	21	21	20
Sat Aug 09 21:35:02 2008	1218332102782633	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782688	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782723	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782758	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782791	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782826	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782862	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782896	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782930	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102782964	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102792193	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792248	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792283	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792318	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792353	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792388	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792422	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792455	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792490	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102792521	0	26	26	17
Sat Aug 09 21:35:02 2008	1218332102801074	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801131	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801167	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801201	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801234	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801268	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801301	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801334	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801366	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102801398	0	29	29	28
Sat Aug 09 21:35:02 2008	1218332102810032	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810087	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810123	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810157	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810193	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810228	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810262	9	11	20	11
Sat Aug 09 21:35:02 2008	1218332102810296	8	12	20	11
Sat Aug 09 21:35:02 2008	1218332102819049	0	12	12	11
Sat Aug 09 21:35:02 2008	1218332102819125	0	23	23	23
Sat Aug 09 21:35:02 2008	1218332102819422	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819458	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819494	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819528	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819562	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819597	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819630	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819695	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102819663	0	23	23	22
Sat Aug 09 21:35:02 2008	1218332102830722	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830787	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830825	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830861	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830913	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830948	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102830985	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831020	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831054	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102831089	0	20	20	20
Sat Aug 09 21:35:02 2008	1218332102842675	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102842736	0	17	17	17
Sat Aug 09 21:35:02 2008	1218332102842771	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842806	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842842	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842877	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842912	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842945	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102843015	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102842980	0	17	17	16
Sat Aug 09 21:35:02 2008	1218332102851430	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851525	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851558	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851591	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851625	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851694	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851727	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851760	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851660	0	18	18	17
Sat Aug 09 21:35:02 2008	1218332102851489	0	18	18	18
Sat Aug 09 21:35:02 2008	1218332102860190	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860246	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860283	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860319	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860352	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860387	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860421	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860455	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860487	0	22	22	22
Sat Aug 09 21:35:02 2008	1218332102860518	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102869904	0	22	22	21
Sat Aug 09 21:35:02 2008	1218332102869962	0	22	22	21
