gc_iter	gc_defnew_start	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
6.084	896	64	960	0.0037010	896	196	0.0037720
6.309	960	64	960	0.0047180	1092	348	0.0047850
6.610	960	64	960	0.0054940	1244	456	0.0055600
6.979	960	64	960	0.0041030	1352	626	0.0041770
7.190	960	64	960	0.0030750	1522	742	0.0031420
10.850	960	18	960	0.0013450	1638	759	0.0014110
20.098	914	64	960	0.0022260	1655	1196	0.0022970
20.104	960	63	960	0.0064770	2092	2090	0.0065460
20.112	959	63	960	0.0062680	2986	2982	0.0063360
20.119	959	63	960	0.0061440	3878	3874	0.0062120
20.319	895	63	960	0.0050100	5619	5609	0.0050790
20.326	959	63	960	0.0062880	6505	6503	0.0063560
20.341	959	63	960	0.0130700	7399	7396	0.0131380
20.355	959	63	960	0.0819830	8292	8289	0.0888980
20.453	1024	63	1088	0.0256460	9283	9281	0.0257140
20.582	1087	63	1088	0.0061330	10305	10295	0.0062010
20.590	1087	63	1088	0.0070350	11319	11317	0.0071210
20.599	1087	63	1088	0.0068900	12341	12339	0.0069570
20.614	1087	63	1088	0.0068790	13363	13362	0.0069470
20.924	1084	63	1088	0.0023230	14383	13623	0.0024000
20.928	1082	8	1088	0.0008080	14641	13621	0.0008660
20.931	1018	21	1088	0.0004890	14631	13634	0.0005490
20.933	1044	38	1088	0.0004920	14657	13650	0.0005730
20.935	1043	28	1088	0.0004740	14656	13640	0.0005320
20.937	1039	15	1088	0.0004500	14651	13628	0.0005090
20.939	1018	34	1088	0.0004750	14631	13646	0.0005320
20.941	1025	36	1088	0.0004850	14637	13648	0.0005660
20.943	1055	58	1088	0.0005210	14668	13670	0.0005810
20.945	1058	41	1088	0.0005110	14670	13653	0.0005720
20.947	1051	43	1088	0.0004870	14663	13655	0.0005460
20.955	1058	44	1088	0.0004940	14670	13679	0.0005520
20.957	1058	46	1088	0.0005850	14693	13705	0.0006450
20.959	1053	48	1088	0.0005040	14711	13706	0.0005630
20.961	1042	50	1088	0.0005340	14700	13708	0.0005930
20.963	1052	26	1088	0.0005620	14710	13684	0.0006210
20.965	1007	53	1088	0.0004800	14665	13711	0.0005370
20.967	1036	55	1088	0.0005190	14694	13713	0.0005760
20.969	1065	56	1088	0.0005070	14724	13715	0.0005660
